,album_name,artist_name,source_countries
2953,Simulation Theory,Muse,"Argentina, Australia, Brazil, Canada, Europe, Japan, Mexico, New Zealand, Russia, UK, Europe, UK, Europe, US, US, US, Europe"
2954,Sin After Sin,Judas Priest,"Australia, Brazil, Canada, Europe, Japan, South Africa, Spain, Taiwan, UK, US"
2955,Sin miedo (del amor y otros demonios) ∞,Kali Uchis,Worldwide
2956,Since I Left You,The Avalanches,"Australia, UK"
2957,Sing the Sorrow,AFI,"Argentina, Australasia, Australia, Canada, Europe, France, Germany, Indonesia, Japan, Malaysia, Mexico, Russia, South Korea, Taiwan, Thailand, UK, US, Ukraine"
2958,Sing to God,Cardiacs,UK
2959,Singles,Future Islands,"China, Europe, Taiwan, UK, Europe, US, US"
2960,Sings Reign Rebuilder,Set Fire to Flames,"Canada, Europe, Japan, UK"
2961,Singularity,Jon Hopkins,"Europe, Japan, UK, UK, Europe, UK, Europe, US, US"
2962,Sinner Get Ready,Lingua Ignota,US
2963,Sir Lucious Left Foot: The Son of Chico Dusty,Big Boi,"Australasia, Canada, Europe, Indonesia, Poland, US"
2964,Siren,Roxy Music,"Australia, Austria, Benelux, Canada, Denmark, France, Germany, Hong Kong, Ireland, Italy, Japan, New Zealand, Norway, Scandinavia, Singapore, South Africa, Spain, Sweden, Turkey, UK, US"
2965,Siren Song of the Counter Culture,Rise Against,"Australasia, Canada, Europe, Indonesia, Japan, US"
2966,Sirens,Nicolás Jaar,"Europe, Japan, US, US, Europe"
2967,Sister,Sonic Youth,"Australia, France, Germany, Greece, Netherlands, New Zealand, Spain, UK, US, US, Canada"
2968,Six Degrees of Inner Turbulence,Dream Theater,US
2969,Sixteen Oceans,Four Tet,"UK, US"
2970,Sixteen Stone,Bush,"Brazil, Canada, Chile, Europe, Germany, Indonesia, Malaysia, New Zealand, Peru, Philippines, South Africa, South Korea, UK, US"
2971,Skeletal Lamping,of Montreal,"Australia, US"
2972,Skelethon,Aesop Rock,US
2973,Skeleton Tree,Nick Cave & The Bad Seeds,"Australia, Europe, Japan, Russia, UK, Europe, US, US"
2974,Sketches for My Sweetheart the Drunk,Jeff Buckley,"Australia, Canada, Europe, Japan, US"
2975,Sketches of Spain,Miles Davis,"Canada, Europe, Japan, Netherlands, New Zealand, UK, US"
2976,Skid Row,Skid Row,"Argentina, Australasia, Australia, Bolivia, Brazil, Canada, Chile, Colombia, Europe, Greece, Guatemala, Indonesia, Japan, Malaysia, Mexico, Panama, Philippines, Singapore, South Korea, Turkey, US, Uruguay, Venezuela"
2977,Skin,Flume,"Australia, Europe, France, UK, Europe, US"
2978,Skins,XXXTentacion,"Sweden, UK, US"
2979,Skiptracing,Mild High Club,"UK, Europe, US"
2980,Sky Blue Sky,Wilco,"Argentina, Australia, Brazil, Canada, Europe, Hong Kong, Japan, US"
2981,Skyforger,Amorphis,"Argentina, Brazil, Europe, Japan, Mexico, Russia, UK, US"
2982,Skying,The Horrors,"Argentina, Australia, New Zealand, Japan, Mexico, Taiwan, UK, UK, Europe, UK, US, US"
2983,Skylarking,XTC,"Australia, Canada, Europe, France, Germany, Greece, Ireland, Italy, Japan, New Zealand, Spain, UK, US"
2984,Slanted and Enchanted,Pavement,"Brazil, Canada, UK, US"
2985,Slaughter of the Soul,At the Gates,"Australia, Bulgaria, Japan, Poland, South Korea, Sweden, Thailand, UK, US"
2986,Slaughterhouse,Ty Segall Band,US
2987,Slave Ambient,The War on Drugs,"Japan, US"
2988,Slave to the Grind,Skid Row,"Australia, Brazil, Canada, Chile, Colombia, Croatia, Ecuador, Estonia, Europe, Germany, Guatemala, Hungary, Indonesia, Japan, Mexico, New Zealand, Philippines, Poland, South Korea, Turkey, UK, UK, Europe, US, Venezuela, Yugoslavia"
2989,Sleep Cycle,Deakin,US
2990,Sleep Well Beast,The National,"Australia, Europe, Japan, Mexico, Russia, UK, Europe, US, US, Canada, US, Europe"
2991,Sleep's Holy Mountain,Sleep,UK
2992,Sleeping With Ghosts,Placebo,"Australasia, Australia, Brazil, Bulgaria, Canada, Europe, France, Hong Kong, Indonesia, Japan, Middle East, Netherlands, Poland, Russia, South Africa, South Korea, Taiwan, Thailand, UK, UK, Europe, US, Ukraine"
2993,Slide,George Clanton,US
2994,Slip It In,Black Flag,"Canada, Germany, UK, US"
2995,Slipknot,Slipknot,US
2996,Slippery When Wet,Bon Jovi,"Argentina, Australasia, Australia, Australia, New Zealand, Brazil, Canada, Colombia, Czech Republic, Slovakia, Ecuador, Europe, Finland, France, Greece, Guatemala, Indonesia, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, Peru, Philippines, Portugal, Scandinavia, Singapore, Malaysia, Hong Kong, South Africa, South Korea, Spain, Taiwan, Thailand, UK, UK, Europe, US, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
2997,Slow Focus,Fuck Buttons,"Europe, Japan, UK, US"
2998,Slow Train Coming,Bob Dylan,"Australia, Brazil, Canada, Colombia, Costa Rica, Europe, France, Greece, Hong Kong, Israel, Italy, Japan, Mexico, New Zealand, Philippines, Poland, Portugal, Singapore, Singapore, Malaysia, South Africa, Spain, Syria, UK, US, Zimbabwe"
2999,"Slow, Deep and Hard",Type O Negative,"Europe, Germany, Poland, US"
3000,Slowdive,Slowdive,UK
3001,Slowhand,Eric Clapton,"Australasia, Australia, Austria, Canada, Europe, France, Germany, Greece, India, Indonesia, Ireland, Israel, Italy, Japan, Netherlands, New Zealand, Philippines, Portugal, Rhodesia, Scandinavia, Spain, Sweden, Taiwan, UK, US, Venezuela"
3002,Slowly We Rot,Obituary,"Brazil, Canada, Europe, Indonesia, Malaysia, Netherlands, Poland, US"
3003,Small Change,Tom Waits,"Australia, Canada, Japan, Netherlands, New Zealand, Portugal, UK, US"
3004,Smile,Brian Wilson,Italy
3005,Smiley Smile,The Beach Boys,"Australia, Canada, Denmark, France, Germany, Italy, Japan, Netherlands, New Zealand, Singapore, South Africa, Spain, UK, US"
3006,Smiling With No Teeth,Genesis Owusu,"Australia, Germany, US, Worldwide"
3007,Smoke + Mirrors,Imagine Dragons,"Argentina, Australasia, Brazil, Canada, Europe, Japan, Malaysia, Mexico, Russia, South Korea, Taiwan, US, US, Canada, Europe"
3008,Smoke Ring for My Halo,Kurt Vile,"Argentina, Europe, Taiwan, UK, US"
3009,Snakes & Arrows,Rush,"Argentina, Australia, Benelux, Brazil, Canada, Chile, Europe, Hong Kong, Japan, Russia, Taiwan, Thailand, US, Venezuela"
3010,Snowball,The Field Mice,UK
3011,So,Peter Gabriel,"Argentina, Australasia, Australia, Brazil, Canada, Colombia, Europe, France, Germany, Greece, Hong Kong, Hungary, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Philippines, Portugal, South Africa, South Korea, Spain, Taiwan, UK, US, USSR, United Arab Emirates, Venezuela, Yugoslavia, Zimbabwe"
3012,So Far,Faust,"Germany, UK"
3013,"So Far, So Good... So What!",Megadeth,"Argentina, Australasia, Australia, Brazil, Canada, Chile, Colombia, Europe, France, Germany, Greece, Italy, Japan, Malaysia, Mexico, Netherlands, Poland, Portugal, Spain, Turkey, UK, US, Uruguay"
3014,So Tonight That I Might See,Mazzy Star,"Canada, Europe, India, Israel, Malaysia, South Africa, UK, UK, Europe, US"
3015,Soft Sounds From Another Planet,Japanese Breakfast,"Europe, Japan, UK, Europe, US, US"
3016,Soil,serpentwithfeet,US
3017,Sol Invictus,Faith No More,"Argentina, Australia, Brazil, Europe, Israel, Japan, Mexico, Russia, South Africa, US, US, Canada, Ukraine"
3018,Solar Paroxysm,Mare Cognitum,Italy
3019,Solar Power,Lorde,"Brazil, Europe, Russia, Taiwan, US, US, Europe, US, Canada, Europe, Worldwide"
3020,Solid Air,John Martyn,"Spain, UK, US"
3021,Solid Gold,Gang of Four,"Australia, Canada, France, Germany, Italy, Japan, Netherlands, New Zealand, Portugal, UK, US, Yugoslavia"
3022,Solid State Survivor,Yellow Magic Orchestra,Japan
3023,Some Girls,The Rolling Stones,"Australia, Barbados, Brazil, Canada, Colombia, Europe, France, Germany, Greece, Guatemala, India, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Philippines, Portugal, Saudi Arabia, Scandinavia, Singapore, Singapore, Malaysia, Hong Kong, South Africa, Spain, Sweden, Syria, Taiwan, Turkey, UK, US, Uruguay, Venezuela, Yugoslavia"
3024,Some Great Reward,Depeche Mode,"Australia, Australia, New Zealand, Canada, France, Germany, Greece, Hong Kong, Ireland, Israel, Italy, Japan, Malaysia, New Zealand, Philippines, Portugal, Saudi Arabia, Scandinavia, South Africa, Spain, UK, US, Venezuela, Zimbabwe"
3025,Some Kind of Cadwallader,Algernon Cadwallader,"Europe, US"
3026,Some Nights,fun.,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Denmark, Europe, Finland, Germany, Germany, Austria, Switzerland, Indonesia, Japan, Mexico, Philippines, Russia, South Africa, UK, US"
3027,Some Rap Songs,Earl Sweatshirt,"Australia, New Zealand, Europe, US"
3028,Somethin' Else,Cannonball Adderley,US
3029,Something / Anything?,Todd Rundgren,"Australia, Brazil, Canada, Germany, New Zealand, UK, US"
3030,Something About Airplanes,Death Cab for Cutie,US
3031,Something Else by The Kinks,The Kinks,"Argentina, Australia, Canada, Chile, France, Germany, Greece, Israel, Netherlands, New Zealand, South Africa, UK, US, Venezuela"
3032,Something Wicked This Way Comes,Iced Earth,"Australia, Germany, Japan, Poland, Russia, US, Worldwide"
3033,Something Wild,Children of Bodom,"Finland, Russia, Scandinavia"
3034,Something to Write Home About,The Get Up Kids,"Australia, New Zealand, Japan, US"
3035,Sometimes I Might Be Introvert,Little Simz,"Japan, UK, Worldwide"
3036,"Sometimes I Sit and Think, and Sometimes I Just Sit",Courtney Barnett,Europe
3037,Sometimes I Wish We Were an Eagle,Bill Callahan,"Australia, Japan, South East Asia, US"
3038,Somewhere Along the Highway,Cult of Luna,"Argentina, Europe, Russia, UK, US"
3039,Somewhere City,Origami Angel,US
3040,Somewhere Far Beyond,Blind Guardian,"Benelux, Bulgaria, Europe, Japan, Malaysia, Mexico, Netherlands, Poland, Turkey"
3041,Somewhere at the Bottom of the River Between Vega and Altair,La Dispute,US
3042,Somewhere in Time,Iron Maiden,"Australasia, Australia, Barbados, Brazil, Canada, Colombia, Europe, France, Germany, Greece, Guatemala, Hungary, India, Indonesia, Ireland, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Poland, Portugal, South Africa, Spain, Turkey, UK, US, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
3043,Song Cycle,Van Dyke Parks,"New Zealand, US"
3044,"Song Machine, Season One",Gorillaz,"Argentina, Brazil, Canada, Europe, Japan, US, US, Europe"
3045,Song for My Father (Cantiga para meu pai),The Horace Silver Quintet,US
3046,Song for Our Daughter,Laura Marling,"Europe, UK, US"
3047,Songs,Adrianne Lenker,"US, Europe"
3048,Songs,John Maus,"UK, US"
3049,Songs About Fucking,Big Black,"Australia, Canada, Greece, Netherlands, UK, US"
3050,Songs About Jane,Maroon 5,"Malaysia, US"
3051,Songs About Leaving,Carissa's Wierd,US
3052,Songs From a Room,Leonard Cohen,"Australia, Canada, Europe, France, Germany, Israel, Japan, Netherlands, New Zealand, South Africa, UK, US"
3053,Songs From the Big Chair,Tears for Fears,"Australasia, Australia, Brazil, Canada, Colombia, Ecuador, Egypt, Europe, Finland, France, France, Benelux, Germany, Greece, Guatemala, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Panama, Peru, Philippines, Portugal, Saudi Arabia, Singapore, Malaysia, Hong Kong, South Africa, South Korea, Spain, Taiwan, Thailand, Turkey, UK, US, Venezuela, Yugoslavia"
3054,Songs From the Wood,Jethro Tull,"Australia, Austria, Brazil, Canada, Finland, France, Germany, Greece, Guatemala, Ireland, Israel, Italy, Japan, Malaysia, Netherlands, New Zealand, Portugal, Scandinavia, Singapore, South Africa, Spain, Sweden, Turkey, UK, US"
3055,Songs for Swingin' Lovers!,Frank Sinatra,"Australia, Canada, France, Germany, Ireland, Netherlands, New Zealand, Norway, South Africa, UK, UK, US, US"
3056,Songs for a Blue Guitar,Red House Painters,"Europe, Malaysia, Netherlands, US"
3057,Songs for the Deaf,Queens of the Stone Age,"Australasia, Australia, Brazil, Canada, Chile, Europe, France, Germany, Indonesia, Japan, Poland, Russia, South Africa, Taiwan, Thailand, Turkey, UK, UK, Europe, US, Ukraine"
3058,Songs in the Key of Life,Stevie Wonder,"Australia, Brazil, Canada, France, Germany, Greece, Guatemala, India, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Panama, Peru, Portugal, Rhodesia, Saudi Arabia, Scandinavia, Singapore, Malaysia, Hong Kong, Thailand, South Africa, Spain, UK, US, Venezuela"
3059,Songs of Faith and Devotion,Depeche Mode,"Argentina, Australia, Belgium, Brazil, Bulgaria, Canada, Chile, Colombia, Czech Republic, Ecuador, Europe, France, Germany, Guatemala, India, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Paraguay, Peru, Poland, Portugal, Russia, Saudi Arabia, Scandinavia, Singapore, South Africa, South Korea, Spain, Taiwan, Thailand, Turkey, UK, US, Uruguay, Venezuela"
3060,Songs of Innocence,U2,"Argentina, Australasia, Australia, Brazil, Canada, Chile, Colombia, Europe, France, Hong Kong, India, Indonesia, Japan, Mexico, Philippines, Poland, Romania, Russia, South Africa, South East Asia, UK, US"
3061,Songs of Leonard Cohen,Leonard Cohen,"Australia, Canada, Europe, France, Germany, Greece, Israel, Netherlands, New Zealand, UK, US"
3062,Songs of Love and Hate,Leonard Cohen,"Australia, Canada, Europe, Israel, Italy, Japan, New Zealand, Portugal, South Africa, Spain, UK, US"
3063,Songs the Lord Taught Us,The Cramps,"Australia, Canada, Europe, Netherlands, New Zealand, UK, UK, Europe, US"
3064,Sonic Citadel,Lightning Bolt,"Japan, US"
3065,Sonic Highways,Foo Fighters,"Argentina, Australia, Brazil, Canada, Chile, Colombia, Europe, India, Indonesia, Italy, Japan, Malaysia, Mexico, Russia, South Korea, Spain, Taiwan, UK, Europe, US"
3066,Sonic Nurse,Sonic Youth,"Argentina, Australasia, Brazil, Canada, China, Europe, France, Indonesia, Japan, Mexico, Russia, UK, UK, Europe, US, Ukraine"
3067,Sonic Youth,Sonic-Youth,US
3068,Sons of Northern Darkness,Immortal,"Brazil, Bulgaria, Germany, Poland, Romania, Russia, Thailand, US, Ukraine"
3069,Soon Over Babaluma,Can,"France, Germany, Italy, Singapore, UK"
3070,Sorcerer,Miles Davis,"Australia, Canada, France, Germany, Italy, Netherlands, South Africa, UK, US"
3071,Sorceress,Opeth,"Australia, Brazil, Europe, Germany, Japan, Mexico, Russia, South Korea, Sweden, UK, US"
3072,"Sorry Ma, Forgot to Take Out the Trash",The Replacements,US
3073,Soul Food,Goodie Mob,"Canada, Europe, US"
3074,Soul Mining,The The,"Australia, Canada, Europe, Greece, Israel, Netherlands, New Zealand, Portugal, Singapore, Spain, UK, UK, Europe, US"
3075,Souls at Zero,Neurosis,"Japan, UK, UK, Europe, US"
3076,Sound & Color,Alabama Shakes,"Argentina, Australia, New Zealand, Brazil, Canada, China, Europe, Japan, Mexico, Russia, UK, UK, Europe, US, US, Canada"
3077,Sound Affects,The Jam,"Australia, Canada, France, Germany, Greece, Ireland, Italy, Japan, Netherlands, New Zealand, Scandinavia, Spain, UK, US"
3078,Sound Ancestors,Madlib,US
3079,Sound of Silver,LCD Soundsystem,"Australia, Brazil, Canada, Europe, Indonesia, Japan, Mexico, Philippines, Russia, South America, UK, US"
3080,Sound of White Noise,Anthrax,"Argentina, Australasia, Australia, Brazil, Bulgaria, Canada, Chile, Czech Republic, Europe, Germany, Guatemala, India, Indonesia, Israel, Japan, Malaysia, Mexico, Peru, Philippines, Poland, South Africa, South Korea, Turkey, US"
3081,Sound-Dust,Stereolab,"Argentina, Australia, Brazil, Canada, Europe, Japan, UK, US"
3082,Sounds of Silence,Simon & Garfunkel,"Australia, Canada, Colombia, Germany, Italy, Japan, Mexico, New Zealand, South Africa, Taiwan, UK, US"
3083,Sounds of the Universe,Depeche Mode,"Argentina, Australia, Brazil, Bulgaria, Canada, China, Colombia, Europe, Germany, Greece, India, Japan, Malaysia, Mexico, Philippines, Russia, Singapore, South Africa, South Korea, Taiwan, Thailand, UK, Europe, US, Ukraine"
3084,Soundtrack to Your Escape,In Flames,"Argentina, Brazil, Europe, Germany, Indonesia, Japan, Malaysia, Russia, South Korea, Taiwan, Thailand, US, Ukraine"
3085,Soundtracks,Can,Germany
3086,Soundtracks for the Blind,Swans,"Poland, UK, US"
3087,Sour,Olivia Rodrigo,"Argentina, Australasia, Australia, Brazil, Europe, Japan, Mexico, Taiwan, UK, UK, US, US, US, Canada, US, Europe, Worldwide"
3088,Source Tags & Codes,...And You Will Know Us by the Trail of Dead,"Australasia, Brazil, Canada, Europe, France, Indonesia, Japan, Russia, UK, US"
3089,South of Heaven,Slayer,"Australia, Brazil, Canada, Chile, Colombia, Europe, Germany, Greece, Indonesia, Mexico, Poland, Spain, UK, UK, France, US"
3090,Southernplayalisticadillacmuzik,OutKast,"Canada, Europe, Japan, US"
3091,Souvenirs d'un autre monde,Alcest,"Canada, Germany, Japan"
3092,Souvlaki,Slowdive,"Europe, France, Germany, Indonesia, Japan, UK, US"
3093,Soviet Kitsch,Regina Spektor,US
3094,Sowiesoso,Cluster,Germany
3095,Space 1.8,Nala Sinephro,UK
3096,Space Is Only Noise,Nicolás Jaar,"France, Japan, UK, Europe, US"
3097,Space Is the Place,Sun Ra,"France, US"
3098,Speak & Spell,Depeche Mode,"Australia, Canada, France, Germany, Indonesia, Ireland, Italy, Japan, New Zealand, Philippines, Portugal, Scandinavia, Sweden, UK, US"
3099,Speak No Evil,Wayne Shorter,US
3100,Speak Now,Taylor Swift,"Argentina, Australasia, Australia, Brazil, Canada, China, Czech Republic, Slovakia, Europe, Greece, Hong Kong, India, Indonesia, Japan, Malaysia, Mexico, New Zealand, Philippines, Poland, Romania, Russia, Singapore, South Africa, South Korea, Thailand, UK, Europe, US"
3101,Speak for Yourself,Imogen Heap,"Canada, Europe, UK, US"
3102,Speakerboxxx / The Love Below,OutKast,"Argentina, Australia, Brazil, Canada, China, Europe, France, Indonesia, Japan, Malaysia, Mexico, Philippines, Poland, Russia, Singapore, South Africa, South Korea, Taiwan, UK, US, US, Canada, United Arab Emirates, Venezuela"
3103,Speaking in Tongues,Talking Heads,US
3104,Specials,The Specials,"Australia, France, Germany, Greece, Ireland, Israel, Italy, Netherlands, New Zealand, Portugal, UK"
3105,Spectrum,Billy Cobham,"Australia, Canada, France, Germany, Italy, Japan, Netherlands, New Zealand, South Africa, UK, US, US, Canada"
3106,Spectrum of Death,Morbid Saint,"Mexico, Poland"
3107,Speedin' Bullet 2 Heaven,Kid Cudi,"Canada, US"
3108,Spiderland,Slint,"Europe, France, UK, UK, Europe, US"
3109,Spirit Phone,Lemon Demon,US
3110,Spirit World Field Guide,Aesop Rock,US
3111,Spirit of Eden,Talk Talk,"Australia, Brazil, Canada, Europe, France, Germany, Greece, Israel, Italy, Japan, Portugal, South Africa, Spain, Turkey, UK, UK, Europe, US"
3112,Spiritual Instinct,Alcest,"Australia, New Zealand, Brazil, China, Europe, Germany, Japan, Mexico, Russia, South Korea, UK, US"
3113,Spiritual State,Nujabes,Japan
3114,Spiritual Unity,Albert Ayler Trio,US
3115,Splazsh,Actress,"Japan, UK"
3116,Spleen and Ideal,Dead Can Dance,"Canada, Greece, UK"
3117,Splendor & Misery,clipping.,"Europe, US"
3118,Split,Lush,"Australia, Belgium, Canada, France, Germany, Italy, Poland, Sweden, UK, US"
3119,Spooky,Lush,UK
3120,Sprained Ankle,Julien Baker,"Australia, US"
3121,Spreading the Disease,Anthrax,"Canada, Europe, France, Italy, Spain, UK, US"
3122,Squeeze,The Velvet Underground,Germany
3123,SremmLife,Rae Sremmurd,"Canada, Europe, US"
3124,St. Anger,Metallica,"Argentina, Australasia, Australia, Belarus, Brazil, Bulgaria, Canada, Central America, Chile, China, Colombia, Egypt, Europe, Germany, Greece, Hong Kong, Hungary, India, Indonesia, Israel, Japan, Malaysia, Mexico, New Zealand, Philippines, Poland, Romania, Russia, Singapore, South Africa, South East Asia, South Korea, Spain, Taiwan, Thailand, Turkey, UK, US, US, Canada, Ukraine"
3125,St. Elsewhere,Gnarls Barkley,"Argentina, Australia, Brazil, Canada, Japan, Mexico, Philippines, Russia, Singapore, South Africa, UK, UK, Europe, US, Ukraine, Worldwide"
3126,St. Vincent,St. Vincent,"Australia, New Zealand, Canada, Europe, France, Japan, South Korea, Taiwan, UK, Europe, US"
3127,Stadium Arcadium,Red Hot Chili Peppers,"Argentina, Australia, Brazil, Canada, Chile, China, Europe, Hong Kong, Indonesia, Italy, Japan, Malaysia, Philippines, Russia, Singapore, South Africa, South Korea, Taiwan, US, United Arab Emirates, Venezuela, Worldwide"
3128,Stage Four,Touché Amoré,"Europe, UK, US"
3129,Stained Class,Judas Priest,"Australia, Brazil, Canada, Europe, Indonesia, Japan, New Zealand, South Africa, UK, US"
3130,Stakes Is High,De La Soul,"Australia, Brazil, Canada, Europe, Germany, Japan, South Africa, UK, UK, Europe, US"
3131,Stand Up,Jethro Tull,"Argentina, Australia, Canada, France, Germany, Italy, Mexico, New Zealand, Norway, Scandinavia, South Africa, Spain, UK, US, Venezuela"
3132,Stand!,Sly & The Family Stone,"Argentina, Australia, Brazil, Canada, Europe, France, Germany, Greece, India, Italy, Jamaica, Japan, Mexico, Netherlands, New Zealand, Philippines, UK, US, Venezuela"
3133,Standing on the Corner,Standing on the Corner,US
3134,Standing on the Verge of Getting It On,Funkadelic,"Canada, South Korea, US"
3135,Stankonia,OutKast,"Australia, Brazil, Bulgaria, Canada, Europe, France, Indonesia, Japan, Malaysia, Mexico, Netherlands, New Zealand, Poland, Russia, Saudi Arabia, South Africa, Turkey, UK, Europe, US, Yugoslavia"
3136,Star Wars,Wilco,"Europe, Japan, Poland, US"
3137,Starboy,The Weeknd,"Argentina, Australasia, Australia, Brazil, Canada, Europe, Germany, Austria, Switzerland, Indonesia, Japan, Malaysia, Mexico, South Africa, Thailand, UK, US"
3138,Stare Into Death and Be Still,Ulcerate,France
3139,Starfish,The Church,"Australia, Australia, New Zealand, Brazil, Canada, Greece, Indonesia, Italy, Japan, Mexico, Philippines, Portugal, South Africa, South Korea, Spain, UK, Europe, US"
3140,Starless and Bible Black,King Crimson,"Australia, Brazil, Canada, France, Germany, Greece, Israel, Italy, Japan, Netherlands, New Zealand, Spain, Sweden, Turkey, UK, US, Uruguay, Venezuela"
3141,Starsailor,Tim Buckley,"Canada, Denmark, France, Germany, UK, US"
3142,Starspawn,Blood Incantation,US
3143,Starz,Yung Lean,Sweden
3144,State of Euphoria,Anthrax,"Australia, Canada, Chile, Europe, Germany, Greece, Guatemala, Indonesia, Italy, Japan, Philippines, Poland, Scandinavia, South Korea, Spain, UK, US"
3145,Static Tensions,Kylesa,"Europe, Germany, Russia, US"
3146,Station to Station,David Bowie,"Australia, Australia, New Zealand, Brazil, Canada, France, Germany, Greece, India, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Portugal, South Africa, Spain, Taiwan, Turkey, UK, US, Yugoslavia"
3147,Stay Hungry,Twisted Sister,"Australia, Brazil, Canada, Chile, Ecuador, Europe, France, Germany, Guatemala, Italy, Japan, Mexico, New Zealand, Peru, Philippines, Portugal, Scandinavia, South Africa, Spain, Taiwan, UK, UK, Europe, US, Venezuela"
3148,Steady Diet of Nothing,Fugazi,"US, US, Europe"
3149,Steal This Album!,System of a Down,"Argentina, Asia, Australia, Brazil, Canada, Chile, Colombia, Europe, Indonesia, Japan, Malaysia, Mexico, Philippines, Poland, Russia, South Africa, Taiwan, Thailand, Turkey, US, Ukraine"
3150,Step in the Arena,Gang Starr,"Canada, Europe, France, Germany, Italy, Japan, US"
3151,Steve McQueen,Prefab Sprout,"Australia, Europe, Greece, Ireland, Israel, Italy, Japan, New Zealand, Portugal, Spain, UK, UK, France"
3152,Sticky Fingers,The Rolling Stones,"Argentina, Australia, Belgium, Brazil, Canada, Colombia, Denmark, Ecuador, France, France, Benelux, Germany, Greece, Israel, Italy, Japan, Lebanon, Malaysia, Mexico, Netherlands, New Zealand, Peru, South Africa, South Korea, Spain, Taiwan, UK, US, US, Canada, Venezuela"
3153,Stiff Upper Lip,AC/DC,"Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Europe, Germany, Indonesia, Japan, Malaysia, Philippines, Poland, Russia, South Africa, Thailand, UK, UK, Europe, UK, France, US, Ukraine"
3154,Still,Joy Division,"Australia, Canada, France, Ireland, Italy, UK"
3155,Still,Nine Inch Nails,Spain
3156,Still Life,Opeth,"Australia, Belarus, Czech Republic, Europe, Poland, Russia, UK, Ukraine"
3157,Still Life,Van der Graaf Generator,"Brazil, Canada, France, Germany, Italy, Japan, Netherlands, Portugal, UK, US"
3158,Stillmatic,Nas,"Australia, Canada, Europe, Indonesia, Japan, Poland, US"
3159,Stokeley,Ski Mask the Slump God,US
3160,Stone Flower,Antônio Carlos Jobim,"Australia, Brazil, Canada, Japan, New Zealand, South Africa, Spain, UK, US"
3161,Stoner Witch,Melvins,"Australia, Bulgaria, Canada, Europe, Germany, Japan, US"
3162,Stoney,Post Malone,"Canada, Europe, US, Worldwide"
3163,Storia di un minuto,Premiata Forneria Marconi,Italy
3164,"Stories From the City, Stories From the Sea",PJ Harvey,"Australasia, Australia, Brazil, Canada, Denmark, Europe, Israel, Japan, Mexico, Poland, Russia, South Africa, Thailand, Turkey, UK, UK, Europe, US"
3165,Storm of the Light's Bane,Dissection,"Bulgaria, Germany, Japan, Poland, Thailand, US"
3166,Stormbringer,Deep Purple,"Australia, Belgium, Bolivia, Brazil, Canada, Chile, Colombia, Denmark, France, Germany, Greece, Guatemala, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Norway, Peru, Philippines, Portugal, Singapore, South Africa, Spain, Taiwan, Thailand, UK, US"
3167,Stormcock,Roy Harper,"Japan, New Zealand, UK"
3168,Straight Outta Compton,N.W.A,"France, Germany, Singapore, Malaysia, Hong Kong, UK, UK, Europe, US"
3169,Stranded,Roxy Music,"Argentina, Austria, France, Germany, Ireland, Italy, Netherlands, New Zealand, Norway, Scandinavia, South Africa, Spain, UK, Yugoslavia"
3170,Strange Days,The Doors,"Australia, Canada, France, Germany, Italy, Japan, New Zealand, UK, US"
3171,Strange Mercy,St. Vincent,"Australia, Europe, Japan, Poland, Taiwan, UK, UK, US, US"
3172,Strange Times,The Chameleons,"Canada, Europe, France, Germany, Spain, US, US, Canada"
3173,Stranger,Yung Lean,"Russia, Sweden, UK"
3174,Stranger Fruit,Zeal and Ardor,"Europe, UK, Europe, UK, Europe, US"
3175,Stranger in the Alps,Phoebe Bridgers,"Japan, US"
3176,Strangers From the Universe,Thinking Fellers Union Local 282,US
3177,Strangers to Ourselves,Modest Mouse,"Argentina, Australia, Europe, Japan, Mexico, US"
3178,"Strangeways, Here We Come",The Smiths,"Australia, Brazil, Canada, France, Germany, Greece, Indonesia, Ireland, Israel, Italy, Japan, Netherlands, Philippines, Portugal, Saudi Arabia, Spain, Sweden, Taiwan, Thailand, UK, US"
3179,Stranglers IV (Rattus Norvegicus),The Stranglers,"Australia, Canada, Germany, Greece, Ireland, Italy, Japan, New Zealand, Portugal, Rhodesia, Scandinavia, UK, UK, Ireland"
3180,Stratosfear,Tangerine Dream,"Australia, Austria, Canada, France, Germany, Greece, Ireland, Israel, Italy, Netherlands, Spain, UK, US, Yugoslavia"
3181,Strawberry Jam,Animal Collective,"Argentina, Australia, Canada, Europe, Japan, Russia, Thailand, UK, US"
